comment_id,comment
253,বাংলাদেশে বেশী বেশী করে মাদ্রাসা বানালে ৷ অতি তারাতারি দেশ উন্নতি হবে ৷
254,'Elon Musk' greatest human alive right now
255,"Ata bangladesha kobe asbe
#singermuktamitra"
256,good technology good
257,"হাইপারলুপ কোম্পানি ২০১২ সালে বলছে, ২০২০ এ ক্যাপসুল মার্কেট এ আসবে। কথায় কোন ভেজাল নাই,,,আসতে মাত্র কয়েক মাস কি কয়েক সময়ের বেপার। বাংলাদেশ সরকার বলছে ডিজিটাল বাংলাদেশ করবে ২০২১ সালে, দেশ তো দূরের কথা সেতুর কাজ ঐ শেষ করতে পারে নাই। কত টাকা লুটপাট করছে বিরোধী দল আসলে প্রকাশ হবে। দেশটাকে খালি করে রাখছে, তার পরেও আমের বরা চুষা বাকী আছে সরকারের।"
258,বাংলাদেশে কবে আসবে??
259,ভাটিয়া রা আবার বুলেট ট্রেন এ যাবে
260,কাদের সাহেব কী জানে এই ট্রেন এর কথা।
261,"2021 সালে তো আমরা পদ্মা সেতু ই পাবো সুতরাং এই চুল আমাদের দরকার কী?
পদ্মা সেতু দিয়ে মুহূর্তের মধ্যে আমরা ভিবিন্ন গ্রহে চলে যেতে পারবো.."
262,বাংলাদেশের সরকার এটা কবে নিয়ে আসবেন??
263,এগুলা করতে করতে আমরা বুড়া হয়ে যাব
264,বাংলাদেশে??🤣🙈
265,"আমরা হাইফার লুপ না হাইফার জাম্প প্রযুক্তি নিয়ে আনবো, এনশাআল্লাহ।"
266,"*যে উন্মাদনা নিয়ে ভিডিওটি সবাইকে দেখাচ্ছেন মনে হচ্ছে, মিরপুর টু মহাখালী এই ট্রেন চালু হচ্ছে*"
267,Love Elon Musk. The guy is really inspiring.
268,This type of transportation system would be very applicable in exoplanet in future.. it wouldn't be surprising if we see such transport system on Planet Mars in next 50 years.
269,Old news mujhe bhot din sy pata Hy 2yers old
270,bangladesh er to dekha jabe nah
271,"#এইটা_বাঁশ দিয়ে বানানো যায়না ?? 🥴🤔
#তাহলে হাসিনা বুবুরে কইয়া একটা বানাই নিতাম 😝😜"
272,যতো সব গাঁজা খুরি গল্প
273,ইহা বাংলাদেশে স্বপ্ন। 😀😀
274,আসসালামুয়ালাইকুম ডাউনলোড করা যাবে কি ভাই?
275,Amader age bullet train lagbe pore hayperlup
276,এটা ভারতে কাজ চলছে
277,ভারতে চালু হবে এখবর খুব ভালো করে পরতে পারেন বাংলাদেশে কবে চালু হবে
278,"কবে আইবো আমগো দেশে তে এমন হাইপারলুপ রকেটে, ঢাকা হবে ফাকা প্রতিদিন হবে ঘরের মানুষের সাথে দেখা।"
279,Ai desh a agulo rupkotha sara r kisui na...ai desh a local bus ee colbe
280,Amra 30mnt e Jai Singair theika Hemayetpur 15km r Ora jaibo 30mnt e 1200 km
281,বাংলাদেশ এ কবে আসবে কেপসুল
282,শাহারখুলা আনতে হবে
283,কমেন্ট বক্স এতো বিনোদন কেন...🤣😂
